No ID;Brand;Adresse;Code Postal;Ville
1361106;AVIA;56 Av. du Général Leclerc;19200;Ussel
1302526;INTERMARCHE;8 Avenue Pierre Semard;19200;Ussel
1311582;E.LECLERC;Route De Ponty;19200;Ussel
1360240;AVIA;Route Nationale;42550;Usson en Forez
1306018;AGIP;A4;77260;Ussy sur Marne
1306638;AGIP;A4;77260;Ussy sur Marne
1399522;INTERMARCHE;Za. Les Paturaux;19140;Uzerche
1300294;CARREFOUR;ZAC Pont Des Charettes;30700;Uzes
1307050;DYNEFF;36 Avenue de la Gare;30700;Uzés Cedex
1399555;INTERMARCHE;Zone Du Bourguet;12400;Vabres l Abbaye
1301204;U;11 B Rue du Gen de Gaulle;88120;Vagney
1398983;DIVERSE / OTHERS;Rond point de Queux-Male;61260;Val au Perche
1302359;CARREFOUR;2 Rue Jean Marie Laloy;35560;Val Couesnon
1300993;CARREFOUR;97 Grande Rue Aiguebelle;73220;Val d'Arc
1302213;INTERMARCHE;11 Rue des Clories;49370;Val d'Erdre- Auxence
1360048;AVIA;Avenue Olympique;73150;val D'isere
1399762;CARREFOUR;244 Chem. Rivière de la Cout;69620;Val d'Oingt
1350015;AVIA;A 31;52140;Val de Meuse
1300698;DIVERSE / OTHERS;20 rue de la Libération;76720;Val de Scie
1302743;CARREFOUR;28 Rue de Verdun;76720;Val de Scie
1360071;AVIA;330 Rue de la Gare;38730;Val de Virieu
1360076;AVIA;330 rue de la Gare;38730;Val de Virieu
1304670;CARREFOUR;2 Route de Brossac;16250;Val des Vignes
1311525;E.LECLERC;12 Ter Grande Rue;25800;Valdahon
1300040;U;9 Rue Mal De Lattre De Tassign;25800;Valdahon
1302686;CARREFOUR;Route de Brou - Arrou;28290;Vald´Yerre
1352043;TOTALENERGIES;162 Avenue de Provence;26000;Valence
1305076;ESSO EXPRESS;295 Av. de Chabeuil;26000;Valence
1306213;AGIP;300 Av. de Chabeuil;26000;Valence
1303356;ESSO EXPRESS;396 Av. Victor Hugo;26000;Valence
1300979;DIVERSE / OTHERS;Avenue de la Condamine;26000;Valence
1300773;CARREFOUR;Au Haut Rege Rte d'Auch;32310;Valence sur Base
1305118;ESSO EXPRESS;3 Bd Eisen;59300;Valenciennes
1303809;ESSO;36 Avenue de St Amand;59300;Valenciennes
1301465;E.LECLERC;50 Rue Ernest Macarez;59300;Valenciennes
1311584;E.LECLERC;Rue De La Bleu Du Nord;59300;Valenciennes
1351573;TOTALENERGIES;A 28;61250;Valframbert
1311646;E.LECLERC;1750 Chemin Saint Bernard;06220;Vallauris
1399682;INTERMARCHE;803 Chemin Departementa;06220;Vallauris
1360120;AVIA;A 40;74520;Valleiry
1352144;TOTALENERGIES;A 40 Aire de Valleiry Nord;74520;Valleiry
1352134;TOTALENERGIES;33 Route de Médine;27350;Valletot
1302935;INTERMARCHE;La Bourdaric;07150;Vallon Pont d'Arc
1306636;AGIP;A4;51800;Valmy
1360548;AVIA;A4;51800;Valmy
1301984;INTERMARCHE;12 Rue du General Legentilhomme;50700;Valognes
1311650;E.LECLERC;7 Route de Montebourg;50700;Valognes
1311513;E.LECLERC;Rond Point De La Liberation;84601;Valreas
1300934;INTERMARCHE;Rte d'Orange;84600;Valreas
1311588;E.LECLERC;2 Rue Bernard Palissy;54500;Vandoeuvre Les Nancy
1303450;ESSO EXPRESS;22 -24 Av. Jeanne d'Arc;54500;Vandoeuvre les Nancy
1321379;TOTALENERGIES;RN 57;54500;Vandoeuvre les Nancy
1300376;CARREFOUR;101 Av. De La MaRNe;56000;Vannes
1300375;CARREFOUR MARKET;Av. De Kerviller;56000;Vannes
1311583;E.LECLERC;Zc Parc Lann;56000;Vannes
1398287;U;route de Pontivy;56890;Vannes - Saint- Avé
1321137;TOTALENERGIES;A 11;44370;Varades
1352002;TOTALENERGIES;A 11;44370;Varades
1306106;AGIP;RN 75 - ZAC du Champ St. Ange;38760;Varces
1303561;ESSO;A 77;45290;Varennes Changy
1360634;AVIA;Z.A. Les Charmettes;71480;Varennes Saint Sauveur
1399905;INTERMARCHE;987 Chemin Departemental;71800;Varennes Sous Dun
1301617;AVIA;37 av de Lyon;03150;Varennes sur Allier
1351103;TOTALENERGIES;66 Avenue de Chazeuil;03150;Varennes sur Allier
1311514;E.LECLERC;Avenue Du 8 Mai 1945;77130;Varennes Sur Seine
1301376;E.LECLERC;Route Du Breau;77130;Varennes Sur Seine
1398900;INTERMARCHE;Z.C. N7 - Route nationale;58640;Varennes- Vauzelles
1300699;DIVERSE / OTHERS;D927;76890;Varneville- Breteville
1300822;DIVERSE / OTHERS;La Touche;16560;Vars
1360074;AVIA;Saint Marcellin;05560;Vars
1361236;AVIA;Av. De La Charite;58210;Varzy
1360065;AVIA;20 Grans Rue;79340;Vasles
1300813;CARREFOUR;Route de Chateauroux;36150;Vatan
1302336;INTERMARCHE;6 Rue des Gites;55140;Vaucouleurs
1302900;U;18 Bd de la République;92420;Vaucresson
1360481;AVIA;RN 4;77141;Vaudoy en Brie
1302259;E.LECLERC;Route De Conde Sur Noireau;14500;Vaudry - Vire
1303153;ESSO;61 Route de Bordeaux;69670;Vaugneray
1303840;ESSO;64 Rue de Meaux;93410;Vaujours
1301044;CARREFOUR;236 Avenue Franklin Roosevelt;69120;Vaulx en Velin
1301335;DIVERSE / OTHERS;55 Av Garibaldi;69120;Vaulx en Velin
1301900;DIVERSE / OTHERS;64 Av du Huit Mai 1945;69120;Vaulx en Velin
1306093;AGIP;Av. Gabriel Peri/ Rue P.Teste;69120;Vaulx en Velin
1301021;INTERMARCHE;76 Av Mas Saint Laurent;30600;Vauvert
1301054;CARREFOUR;Rue des trois Rodes;77000;Vaux le Penil
1399811;DIVERSE / OTHERS;Rue de la Tertre Cherisy;77000;Vaux le Pesnil
